,Pipeline,Precision,Recall,F1-score,IQV,F1
0,res_optimal,"80.1 (73.9,86.0)","82.3 (74.1,88.6)","80.6 (75.8,85.2)",9.400000000000006,80.6
0,res_all,"80.1 (73.0,86.1)","81.6 (74.1,87.4)","80.5 (75.7,84.9)",9.200000000000003,80.5
0,res_pub_type,"78.0 (71.6,84.3)","81.6 (74.7,87.4)","79.6 (75.5,84.2)",8.700000000000003,79.6
0,res_mesh,"79.2 (72.1,85.2)","79.8 (72.8,86.1)","79.5 (74.3,83.3)",9.0,79.5
0,res_affiliations,"76.6 (69.8,82.1)","80.4 (72.8,86.7)","78.3 (73.2,81.9)",8.700000000000003,78.3
0,res_keywords,"76.6 (70.2,83.0)","80.4 (72.8,85.5)","78.2 (73.8,82.2)",8.400000000000006,78.2
0,res_abstract,"77.0 (69.8,82.6)","79.8 (73.4,86.1)","78.2 (73.6,82.6)",9.0,78.2
0,res_authors,"76.4 (69.4,82.6)","80.4 (72.8,86.1)","78.2 (73.3,82.6)",9.299999999999997,78.2
0,res_journal,"76.4 (70.2,82.2)","79.8 (72.8,85.4)","78.0 (73.6,82.0)",8.400000000000006,78.0
0,res_chemical,"76.0 (69.5,81.9)","80.4 (73.4,86.1)","77.8 (73.0,82.0)",9.0,77.8
0,res_title,"65.3 (59.0,72.7)","65.8 (55.0,72.8)","65.0 (59.5,71.0)",11.5,65.0
