,pmid,Dataset,Real label,times_correct,times_test,CorrectlyClassified
2508,18483382,pk_random,Relevant,0,33,0.0
2354,17264391,random_1000_pmids,Relevant,0,37,0.0
3799,29423489,random_1000_pmids,Relevant,0,29,0.0
2292,16890576,2000V2_1103,Not Relevant,0,31,0.0
74,817875,2000V2_1103,Not Relevant,0,49,0.0
2246,16622675,pk_random,Not Relevant,0,42,0.0
3820,29534286,2000V2_1103,Not Relevant,0,44,0.0
432,2822672,2000V2_1103,Not Relevant,0,47,0.0
2238,16552498,2000V2_1103,Not Relevant,0,45,0.0
3419,26296069,random_1000_pmids,Not Relevant,0,35,0.0
458,2960342,pk_random,Relevant,0,45,0.0
3271,25118088,pk_random,Not Relevant,0,41,0.0
2074,15333728,2000V2_1103,Relevant,0,45,0.0
2031,15045047,random_1000_pmids,Relevant,0,40,0.0
62,684661,random_1000_pmids,Relevant,0,42,0.0
3834,29651770,2000V2_1103,Relevant,0,47,0.0
3664,28326559,2000V2_1103,Not Relevant,0,37,0.0
500,3249344,pk_random,Relevant,0,40,0.0
510,3292000,2000V2_1103,Not Relevant,0,44,0.0
1792,12009933,random_1000_pmids,Relevant,0,41,0.0
399,2704055,2000V2_1103,Relevant,0,35,0.0
2410,17673476,random_1000_pmids,Relevant,0,35,0.0
3201,24633923,2000V2_1103,Relevant,0,38,0.0
2502,18467078,pk_random,Relevant,0,32,0.0
3498,26919659,2000V2_1103,Not Relevant,0,27,0.0
3010,23079519,2000V2_1103,Relevant,0,36,0.0
3008,23038001,2000V2_1103,Relevant,0,41,0.0
2966,22658862,random_1000_pmids,Relevant,0,38,0.0
2965,22644862,pk_random,Relevant,0,30,0.0
2923,22343256,2000V2_1103,Relevant,0,39,0.0
3697,28585177,2000V2_1103,Relevant,0,47,0.0
2918,22286919,pk_random,Relevant,0,44,0.0
259,2057987,pk_random,Not Relevant,0,41,0.0
1788,11967728,pk_random,Not Relevant,0,38,0.0
2884,21937291,2000V2_1103,Not Relevant,0,37,0.0
2851,21647791,pk_random,Not Relevant,0,34,0.0
3116,24002097,2000V2_1103,Relevant,0,34,0.0
3157,24337137,2000V2_1103,Relevant,0,41,0.0
2811,21276131,pk_random,Not Relevant,0,42,0.0
